Stagione,Id,Ruolo,Giocatori,Squadra,Presenze,Media Voto,Fanta Media,Goal Fatti,Goal Subiti,Rigori Parati,Rigori Calciati,Rigori Segnati,Rigori Sbagliati,Assist,Ammonizioni ,Espulsioni,Autogoal
2022-2023,572,Portiere,Meret,Napoli,34,"6,18","5,56",0,24,1,0,0,0,0,0,0,0
2022-2023,2814,Portiere,Provedel,Lazio,38,"6,28","5,47",0,30,0,0,0,0,0,1,0,0
2022-2023,4312,Portiere,Maignan,Milan,22,"6,18","5,36",0,21,1,0,0,0,0,0,0,0
2022-2023,4964,Portiere,Vicario,Empoli,31,"6,45","5,24",0,39,1,0,0,0,0,3,0,0
2022-2023,453,Portiere,Szczesny,Juventus,28,"6,11","5,18",0,26,0,0,0,0,0,0,0,0
2022-2023,133,Portiere,Skorupski,Bologna,37,"6,16","4,95",0,49,2,0,0,0,0,4,0,0
2022-2023,2134,Portiere,Falcone,Lecce,38,"6,22","5,07",0,46,1,0,0,0,0,2,0,0
2022-2023,2211,Portiere,Silvestri,Udinese,38,"6,24","4,97",0,48,0,0,0,0,0,0,0,0
2022-2023,4270,Portiere,Rui Patricio,Roma,35,"6,01","5,09",0,35,1,0,0,0,0,1,0,0
2022-2023,5876,Portiere,Di Gregorio,Monza,37,"6,27","4,97",0,49,0,0,0,0,1,0,0,0
2022-2023,2170,Portiere,Milinkovic-Savic V.,Torino,38,"6,03","4,89",0,41,0,0,0,0,0,4,0,0
2022-2023,5830,Portiere,Onana,Inter,24,"6,12","5,02",0,24,0,0,0,0,0,1,0,1
2022-2023,4,Portiere,Sportiello,Atalanta,15,"6,07","4,67",0,21,0,0,0,0,0,0,0,0
2022-2023,1917,Portiere,Dragowski,Spezia,34,"6,24","4,75",0,54,1,0,0,0,1,1,0,0
2022-2023,2815,Portiere,Terracciano,Fiorentina,29,"5,97","4,74",0,38,1,0,0,0,0,1,0,0
2022-2023,4431,Portiere,Carnesecchi,Cremonese,27,"6,37","4,65",0,47,0,0,0,0,1,1,0,0
2022-2023,4957,Portiere,Montipo',Verona,37,"6,23","4,7",0,59,1,0,0,0,0,1,0,0
2022-2023,6120,Portiere,Ochoa,Salernitana,20,"6,35","4,82",0,33,1,0,0,0,0,1,0,0
